update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
358,-2.375875,410.680213,0.290359,1.371307,1.032
359,-1.735285,410.680213,0.748733,1.426121,0.755
360,-2.829551,410.680213,0.292555,1.239351,1.885
361,-1.817316,410.680213,0.689394,0.883112,0.771
362,-1.102287,410.680213,0.824945,0.786111,1.050
363,-2.315487,410.680213,0.612238,1.251432,0.801
364,-1.517160,410.680213,1.020697,0.641763,1.025
365,-2.504360,410.680213,0.722006,0.994810,0.775
366,-3.256140,410.680213,0.272814,2.015868,1.044
367,-3.288685,410.680213,0.834829,1.439948,0.757
368,-2.918075,410.680213,0.731849,1.188567,1.006
369,-2.191081,410.680213,0.764455,0.852692,0.796
370,-2.560283,410.680213,0.608515,1.425016,0.980
371,-1.350188,410.680213,0.519774,0.889356,0.746
372,-1.278570,410.680213,1.015281,0.713749,1.028
373,-3.464254,410.680213,0.631669,1.429961,0.793
374,-2.048695,410.680213,0.737209,0.813319,1.072
375,-2.709788,410.680213,0.501493,1.718065,0.762
376,-2.511147,410.680213,0.462552,1.014510,1.040
377,-3.178743,410.680213,0.593852,1.400988,0.734
378,-2.744912,410.680213,0.562376,1.142117,1.019
379,-3.773490,410.680213,0.557918,1.811928,0.759
380,-3.316394,410.680213,0.784843,1.724014,1.704
381,-3.277157,410.680213,0.755909,1.209953,0.735
382,-2.101581,410.680213,0.675565,1.490582,1.004
383,-2.636902,410.680213,0.693579,0.975040,0.758
384,-2.484396,410.680213,0.247039,1.096488,0.989
385,-4.381188,410.680213,0.565661,1.741683,0.723
386,-2.140520,410.680213,0.700068,0.762635,1.023
387,-3.286475,410.680213,0.671903,2.148400,0.747
388,-3.541353,410.680213,0.433490,1.569303,1.006
389,-2.598906,410.680213,0.699021,1.634964,0.758
390,-2.512569,410.680213,0.582893,0.890678,0.993
391,-2.801502,410.680213,0.417767,1.319942,0.774
392,-2.012413,410.680213,0.518898,1.758320,1.002
393,-3.347402,410.680213,0.754810,1.154698,0.804
394,-1.942140,410.680213,0.906253,1.012945,1.025
395,-2.788017,410.680213,0.461662,0.860596,0.767
396,-3.762509,410.680213,0.672335,2.314448,1.033
397,-2.444358,410.680213,0.663949,1.664083,0.783
398,-4.033227,410.680213,0.335697,1.212580,0.786
399,-2.574947,410.680213,0.723645,0.690043,0.756
400,-1.217082,410.680213,0.725525,0.554372,1.917
401,-2.270994,410.680213,0.673032,0.947021,0.789
402,-1.573026,410.680213,0.674596,0.786141,1.066
403,-1.981557,410.680213,0.670664,0.852206,0.793
404,-2.011692,410.680213,0.561934,0.650866,1.063
405,-2.394968,410.680213,0.429441,1.130734,0.792
406,-2.339346,410.680213,0.755677,1.846769,1.065
407,-2.725856,410.680213,0.545845,1.138302,0.760
408,-1.860136,410.680213,0.625949,0.607601,1.054
409,-4.705661,410.680213,0.576324,2.060486,0.728
410,-3.642925,410.680213,0.559452,1.920157,1.033
411,-3.124114,410.680213,0.598100,1.306650,0.743
412,-3.461947,410.680213,0.459964,0.826836,1.001
413,-3.304914,410.680213,0.428781,1.592221,0.721
414,-2.889982,410.680213,0.508866,1.789287,1.078
415,-3.014901,410.680213,0.403909,1.312635,0.738
416,-1.540991,410.680213,0.461495,0.887647,0.980
417,-2.949257,410.680213,0.590998,1.095550,0.738
418,-2.972450,410.680213,0.812544,1.594271,1.041
419,-6.459929,410.680213,0.549224,4.068597,0.766
420,-2.762569,410.680213,0.694258,1.345942,1.913
421,-2.674406,410.680213,0.875168,1.773056,0.776
422,-3.266894,410.680213,0.661826,1.533322,1.022
423,-1.679723,410.680213,0.615362,1.065628,0.795
424,-3.282533,410.680213,0.874789,1.639746,1.078
425,-3.263136,410.680213,0.425474,1.825331,0.769
426,-1.587070,410.680213,0.342888,0.863992,1.041
427,-2.352551,410.680213,0.739594,1.031842,0.798
428,-2.834060,410.680213,0.624519,1.197976,1.061
429,-2.187528,410.680213,0.703155,1.552576,0.790
430,-3.281629,410.680213,0.601335,1.072233,1.056
