id,base_instance_id,campus,size,p_model,n_wos,window_bh,n_technicians,u_realized,wo_set_equals_sum,r4_labor_cap_hours,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,v2rl302,302,1,8.0,31.0486,2.819512666666667,0.006666666666666667,0.02681196795310825
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,v2rl303,303,1,8.0,31.0486,2.8199553333333336,0.006666666666666667,0.026712030987255275
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,v2rl304,304,1,8.0,31.0486,2.798112666666667,0.006666666666666667,0.02648321504238993
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,v2rl305,305,1,8.0,31.0486,2.811442,0.006666666666666667,0.02600283396895975
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,v2rl306,306,1,8.0,31.0486,2.8199553333333336,0.006666666666666667,0.02607245498802513
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,v2rl307,307,1,8.0,31.0486,2.79705,0.006666666666666667,0.02588240394834429
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,v2rl308,308,1,8.0,31.0486,2.811442,0.006666666666666667,0.026768480078317225
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,v2rl309,309,1,8.0,31.0486,2.812228,0.006666666666666667,0.025947576970793307
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,v2rl310,310,1,8.0,31.0486,2.8037146666666666,0.006666666666666667,0.025930688017979264
c01_final_150_0002_pone,c01_final_150_0002,1,150,single,150,16.0,75,0.336458,1,40.0,edd,301,1,8.0,31.0486,2.8460793333333334,0.006666666666666667,0.00047220801934599876
c01_final_150_0002_pone,c01_final_150_0002,1,150,single,150,16.0,75,0.336458,1,40.0,pfifo,301,1,8.0,31.0486,2.8460793333333334,0.006666666666666667,0.00037290307227522135
c01_final_150_0002_pone,c01_final_150_0002,1,150,single,150,16.0,75,0.336458,1,40.0,wspt,301,1,8.0,31.0486,2.8283519999999998,0.006666666666666667,0.00034545804373919964
c01_final_150_0002_pone,c01_final_150_0002,1,150,single,150,16.0,75,0.336458,1,40.0,atc,301,1,8.0,31.0486,2.828696,0.006666666666666667,0.0004693100927397609
c01_final_150_0002_pone,c01_final_150_0002,1,150,single,150,16.0,75,0.336458,1,40.0,wmdd,301,1,8.0,31.0486,2.8460793333333334,0.006666666666666667,0.00037973595317453146
c01_final_150_0002_pone,c01_final_150_0002,1,150,single,150,16.0,75,0.336458,1,40.0,lpt,301,1,8.0,31.0486,2.885622,0.006666666666666667,0.0003303789999336004
