analysis,scope_type,scope,family,reference,n_configs,n_clusters_base,n_clusters_component,mean_ref,mean_diff,ci_lo_base,ci_hi_base,verdict_base,ci_lo_component,ci_hi_component,verdict_component,ci_width_base,ci_width_component,width_ratio,verdict_changed
size,emp_m_size,m=0.8|size=150,mlp_pool,edd,120,120,,204.78543666666667,0.0008333333333345887,-1.8947806286936005e-15,0.0025000000000053053,equivalent,,,,0.0025000000000072,,,
size,emp_m_size,m=0.8|size=150,attn_pool,edd,120,120,,204.78543666666667,0.2413590000000015,0.036200000000003715,0.5454180833333367,equivalent,,,,0.5092180833333331,,,
size,emp_m_size,m=0.8|size=150,v1_pool,edd,120,120,,204.78543666666667,-3.789561257387201e-15,-9.473903143468002e-15,0.0,equivalent,,,,9.473903143468002e-15,,,
size,emp_m_size,m=0.8|size=150,rollcp2,edd,32,32,,267.408725,0.018137499999999918,0.006712500000002519,0.034849999999999694,equivalent,,,,0.028137499999997175,,,
size,emp_m_size,m=0.8|size=400,pfifo,edd,60,60,,930.3370833333335,0.0,0.0,0.0,equivalent,,,,0.0,,,
size,emp_m_size,m=0.8|size=400,wspt,edd,60,60,,930.3370833333335,8.62855999999997,4.421345833333324,13.438812499999958,inconclusive,,,,9.017466666666635,,,
size,emp_m_size,m=0.8|size=400,atc,edd,60,60,,930.3370833333335,3.70890666666664,1.199085999999986,6.721565833333289,equivalent,,,,5.5224798333333025,,,
size,emp_m_size,m=0.8|size=400,wmdd,edd,60,60,,930.3370833333335,2.6498233333333396,0.9042911666666787,4.722308750000023,equivalent,,,,3.818017583333344,,,
size,emp_m_size,m=0.8|size=400,lpt,edd,60,60,,930.3370833333335,24.81809333333333,2.558463750000003,58.85426341666664,inconclusive,,,,56.29579966666664,,,
size,emp_m_size,m=0.8|size=400,random,edd,60,60,,930.3370833333335,9.646813333333332,2.953850333333326,19.095759166666664,inconclusive,,,,16.14190883333334,,,
size,emp_m_size,m=0.8|size=400,mlp_pool,edd,60,60,,930.3370833333335,-0.44003466666666274,-1.520320999999995,0.8095408999999971,equivalent,,,,2.329861899999992,,,
size,emp_m_size,m=0.8|size=400,attn_pool,edd,60,60,,930.3370833333335,2.6745206666666723,0.6469546083333286,5.226409633333337,equivalent,,,,4.579455025000009,,,
size,emp_m_size,m=0.8|size=400,v1_pool,edd,60,60,,930.3370833333335,-0.7806666666666758,-1.62352630555558,-0.021435194444455904,equivalent,,,,1.602091111111124,,,
size,emp_m_size,m=0.8|size=400,rollcp2,edd,16,16,,984.8246999999999,-1.5690249999999963,-3.98553000000003,0.15172937500001632,equivalent,,,,4.137259375000046,,,
size,emp_m_size,m=0.6|size=150,pfifo,edd,120,120,,205.39232333333334,0.0,0.0,0.0,equivalent,,,,0.0,,,
size,emp_m_size,m=0.6|size=150,wspt,edd,120,120,,205.39232333333334,2.9216616666666657,1.3600434999999997,5.045573958333331,inconclusive,,,,3.6855304583333313,,,
