analysis,sweep,scope_type,scope,method,verdict_base,verdict_swept,check,arm,stratum
robustness,half,,,random,equivalent,inconclusive,pmodel,sum,verdict
robustness,half,,,wspt,equivalent,inconclusive,pmodel,sum,verdict
robustness,half,,,random,equivalent,inconclusive,pmodel,max,campus1
robustness,half,,,atc,equivalent,inconclusive,pmodel,single,verdict
robustness,half,,,lpt,equivalent,inconclusive,capacity,q0.95,verdict
robustness,half,,,random,equivalent,inconclusive,capacity,q0.95,verdict
robustness,half,,,wspt,equivalent,inconclusive,capacity,q0.95,verdict
robustness,half,,,atc,equivalent,inconclusive,capacity,q0.90,verdict
robustness,half,,,wspt,equivalent,inconclusive,capacity,q0.90,verdict
robustness,half,,,atc,equivalent,inconclusive,capacity,q0.75,verdict
robustness,half,,,wmdd,equivalent,inconclusive,capacity,q0.75,verdict
robustness,half,,,lpt,equivalent,inconclusive,backdate,baseline,verdict
robustness,half,,,random,equivalent,inconclusive,backdate,baseline,verdict
robustness,half,,,wspt,equivalent,inconclusive,backdate,baseline,verdict
robustness,half,,,atc,equivalent,inconclusive,backdate,backdate,campus1
robustness,half,,,lpt,equivalent,inconclusive,sla,baseline,verdict
robustness,half,,,random,equivalent,inconclusive,sla,baseline,verdict
robustness,half,,,wspt,equivalent,inconclusive,sla,baseline,verdict
robustness,half,,,wspt,equivalent,inconclusive,sla,emg,verdict
robustness,half,,,lpt,equivalent,inconclusive,sla,emg,verdict
robustness,half,,,random,equivalent,inconclusive,sla,emg,verdict
robustness,half,,,wmdd,equivalent,inconclusive,sla,rtn,verdict
robustness,half,,,atc,equivalent,inconclusive,sla,rtn,verdict
robustness,half,,,random,equivalent,inconclusive,sla,rtn,verdict
robustness,half,,,lpt,equivalent,inconclusive,sla,pmp3,verdict
robustness,half,,,random,equivalent,inconclusive,sla,pmp3,verdict
robustness,half,,,wspt,equivalent,inconclusive,sla,pmp3,verdict
robustness,half,,,v2rl309,equivalent,inconclusive,sla,pmp3,campus1
robustness,double,,,random,inconclusive,equivalent,pmodel,sum,campus1
robustness,double,,,v2rl304,inconclusive,equivalent,pmodel,max,verdict
robustness,double,,,v2rl304,inconclusive,equivalent,pmodel,single,verdict
robustness,double,,,random,inconclusive,equivalent,capacity,q0.95,campus1
robustness,double,,,random,inconclusive,equivalent,capacity,q0.90,verdict
robustness,double,,,lpt,inconclusive,equivalent,capacity,q0.90,verdict
robustness,double,,,random,inconclusive,equivalent,capacity,q0.90,campus1
robustness,double,,,v2rl308,inconclusive,equivalent,capacity,q0.75,verdict
robustness,double,,,wspt,inconclusive,equivalent,capacity,q0.75,verdict
robustness,double,,,lpt,inconclusive,equivalent,capacity,q0.75,campus1
robustness,double,,,random,inconclusive,equivalent,backdate,baseline,campus1
robustness,double,,,random,inconclusive,equivalent,backdate,backdate,verdict
robustness,double,,,wspt,inconclusive,equivalent,backdate,backdate,verdict
robustness,double,,,wspt,inconclusive,equivalent,backdate,backdate,campus1
robustness,double,,,random,inconclusive,equivalent,sla,baseline,campus1
robustness,double,,,random,inconclusive,equivalent,sla,emg,campus1
robustness,double,,,wspt,inconclusive,equivalent,sla,emg,campus1
robustness,double,,,lpt,inconclusive,equivalent,sla,rtn,verdict
robustness,double,,,wspt,inconclusive,equivalent,sla,rtn,verdict
robustness,double,,,random,inconclusive,equivalent,sla,rtn,campus1
robustness,double,,,random,inconclusive,equivalent,sla,pmp3,campus1
