update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
468,-5.217698,410.086463,0.573500,2.722974,1.375
469,-2.160883,410.086463,0.830302,1.786779,1.275
470,-2.413807,410.086463,0.785269,1.438463,1.579
471,-3.104018,410.086463,0.318316,1.080740,1.200
472,-0.778431,410.086463,0.618486,0.609485,1.296
473,-3.759839,410.086463,0.617093,1.304824,1.177
474,-2.772314,410.086463,0.680983,1.058815,1.739
475,-3.802592,410.086463,0.675012,1.180018,1.130
476,-2.783071,410.086463,0.495757,0.785152,1.417
477,-4.230075,410.086463,0.598558,1.510404,1.191
478,-2.506960,410.086463,0.588468,1.004678,1.388
479,-1.867029,410.086463,0.422237,0.776334,1.181
480,-3.991314,410.680213,0.465482,2.632936,3.230
481,-5.385837,410.680213,0.589070,1.142998,1.045
482,-3.322206,410.680213,0.380853,1.330239,1.248
483,-1.708929,410.680213,0.455865,1.376943,1.044
484,-4.431606,410.680213,0.769402,2.123554,1.329
485,-2.052966,410.680213,0.816048,1.368857,1.080
486,-4.463536,410.680213,0.554815,1.783284,1.374
487,-4.261751,410.680213,0.544256,1.953625,1.229
488,-3.000673,410.680213,0.704647,0.719028,1.417
489,-1.131088,410.680213,0.379347,0.714803,1.322
490,-3.422521,410.680213,0.459328,1.674795,1.440
491,-3.108588,410.680213,0.612541,1.129489,1.133
492,-1.725108,410.680213,0.716478,1.425185,1.481
493,-3.405231,410.680213,0.673646,2.079165,1.220
494,-4.297212,410.680213,0.467502,1.766082,1.645
495,-3.009355,410.680213,0.351895,1.038323,1.081
496,-1.566163,410.680213,0.449788,1.057936,1.235
497,-2.700137,410.680213,0.397182,1.567129,0.969
498,-2.971110,410.680213,0.501723,0.980448,1.338
499,-2.965953,410.680213,0.616629,4.699402,1.180
500,-3.092169,409.528138,0.795489,0.880001,3.025
501,-3.281576,409.528138,0.916112,0.904956,1.259
502,-2.519394,409.528138,0.648223,1.437236,1.470
503,-2.514014,409.528138,0.831705,1.037939,1.255
504,-1.797823,409.528138,0.543622,0.839198,1.424
505,-3.433236,409.528138,0.318789,1.020341,1.027
506,-1.934367,409.528138,0.557019,0.799839,1.360
507,-3.394680,409.528138,0.598160,1.482110,1.000
508,-3.723744,409.528138,1.008017,1.244547,1.380
509,-3.132055,409.528138,0.772457,2.475770,1.024
510,-4.411888,409.528138,1.061261,0.947380,1.492
